id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1905,OAK,Oakland Athletics,92,56,623,5146,NA,NA
1905,PHI,Philadelphia Phillies,83,69,708,5243,NA,NA
1905,PIT,Pittsburgh Pirates,96,57,692,5213,NA,NA
1905,SFG,San Francisco Giants,105,48,780,5094,NA,NA
1905,STL,St. Louis Cardinals,58,96,535,5066,NA,NA
1906,ATL,Atlanta Braves,49,102,408,4925,NA,NA
1906,BAL,Baltimore Orioles,76,73,558,5030,NA,NA
1906,BOS,Boston Red Sox,49,105,463,5168,NA,NA
1906,CHC,Chicago Cubs,116,36,705,5018,NA,NA
1906,CHW,Chicago White Sox,93,58,570,4925,NA,NA
1906,CIN,Cincinnati Reds,64,87,533,5025,NA,NA
1906,CLE,Cleveland Indians,89,64,663,5426,NA,NA
1906,DET,Detroit Tigers,71,78,518,4930,NA,NA
1906,LAD,Los Angeles Dodgers,66,86,496,4897,NA,NA
1906,MIN,Minnesota Twins,55,95,518,4956,NA,NA
1906,NYY,New York Yankees,90,61,644,5095,NA,NA
1906,OAK,Oakland Athletics,78,67,561,4883,NA,NA
1906,PHI,Philadelphia Phillies,71,82,528,4911,NA,NA
1906,PIT,Pittsburgh Pirates,93,60,623,5030,NA,NA
1906,SFG,San Francisco Giants,96,56,625,4768,NA,NA
1906,STL,St. Louis Cardinals,52,98,470,5075,NA,NA
1907,ATL,Atlanta Braves,58,90,502,5020,NA,NA
1907,BAL,Baltimore Orioles,69,83,542,5224,NA,NA
1907,BOS,Boston Red Sox,59,90,464,5235,NA,NA
1907,CHC,Chicago Cubs,107,45,574,4892,NA,NA
1907,CHW,Chicago White Sox,87,64,588,5070,NA,NA
1907,CIN,Cincinnati Reds,66,87,526,4966,NA,NA
1907,CLE,Cleveland Indians,85,67,530,5068,NA,NA
1907,DET,Detroit Tigers,92,58,694,5204,NA,NA
1907,LAD,Los Angeles Dodgers,65,83,446,4895,NA,NA
1907,MIN,Minnesota Twins,49,102,506,5112,NA,NA
1907,NYY,New York Yankees,70,78,605,5044,NA,NA
1907,OAK,Oakland Athletics,88,57,582,5008,NA,NA
1907,PHI,Philadelphia Phillies,83,64,512,4725,NA,NA
1907,PIT,Pittsburgh Pirates,91,63,634,4957,NA,NA
1907,SFG,San Francisco Giants,82,71,574,4874,NA,NA
1907,STL,St. Louis Cardinals,52,101,419,5008,NA,NA
1908,ATL,Atlanta Braves,63,91,537,5131,NA,NA
1908,BAL,Baltimore Orioles,83,69,544,5151,NA,NA
1908,BOS,Boston Red Sox,75,79,564,5048,NA,NA
1908,CHC,Chicago Cubs,99,55,624,5085,NA,NA
1908,CHW,Chicago White Sox,88,64,537,5027,NA,NA
1908,CIN,Cincinnati Reds,73,81,489,4879,NA,NA
1908,CLE,Cleveland Indians,90,64,568,5108,NA,NA
