county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Augusta County,38.11403,-78.846113,17.507294706127553,57576.0,22.89846278317152,45.5,91.0,4.0,3.0,81.0,8.0,0.0,1.0,2.0,8.0,greater_richmond_area
Augusta County,38.119383,-78.967606,17.340034796056447,62076.0,20.359634351695934,44.4,88.0,4.0,6.0,85.0,8.0,0.0,1.0,1.0,5.0,greater_richmond_area
Augusta County,38.202959,-79.006728,20.40498114161697,47459.0,19.447932053175776,45.3,90.0,4.0,3.0,82.0,11.0,0.0,0.0,3.0,4.0,northern_virginia
Augusta County,38.214105000000004,-79.190884,19.109004739336495,52750.0,27.15280257051053,47.0,95.0,3.0,1.0,87.0,6.0,0.0,4.0,1.0,2.0,northern_virginia
Augusta County,38.09414,-79.111173,15.046300734293219,52159.0,19.399016979445936,44.6,93.0,4.0,2.0,86.0,6.0,1.0,1.0,3.0,3.0,greater_roanoke_area
Augusta County,38.005514,-79.203369,21.16487927504207,49327.0,25.379932829554996,46.1,89.0,6.0,3.0,91.0,4.0,0.0,1.0,1.0,3.0,greater_roanoke_area
Augusta County,38.044935,-79.020186,22.46489859594384,44870.0,21.572115384615383,41.6,83.0,10.0,5.0,94.0,4.0,0.0,1.0,0.0,1.0,greater_roanoke_area
Augusta County,37.994498,-79.058815,23.489474752319982,54203.0,30.245708515651295,44.4,95.0,4.0,0.0,85.0,6.0,2.0,0.0,1.0,5.0,greater_roanoke_area
Augusta County,37.978385,-78.967541,19.649525998276356,55696.0,21.648250460405155,43.6,91.0,7.0,2.0,88.0,5.0,0.0,2.0,0.0,5.0,greater_richmond_area
Bath County,38.058692,-79.741089,14.404264078174766,46153.0,29.573055028463,49.8,90.0,3.0,6.0,81.0,10.0,0.0,7.0,0.0,2.0,greater_roanoke_area
Bedford County,37.458608,-79.289083,19.41556886227545,83500.0,24.198612029081296,42.8,90.0,1.0,5.0,88.0,8.0,0.0,0.0,1.0,3.0,greater_roanoke_area
Bedford County,37.384227,-79.287181,16.522734927585045,74225.0,17.590509666080845,43.3,93.0,2.0,3.0,85.0,5.0,1.0,0.0,1.0,7.0,greater_roanoke_area
Bedford County,37.350599,-79.286695,15.872727272727271,66e3,18.034944949736715,40.6,88.0,2.0,8.0,89.0,7.0,0.0,1.0,0.0,3.0,greater_roanoke_area
Bedford County,37.356265,-79.362107,18.949649426504102,80297.0,26.01128880526811,42.7,89.0,4.0,5.0,84.0,11.0,0.0,0.0,1.0,4.0,greater_roanoke_area
Bedford County,37.228651,-79.41957,15.214535901926446,54816.0,34.38373048479868,45.8,94.0,5.0,1.0,83.0,12.0,2.0,0.0,1.0,3.0,greater_roanoke_area
Bedford County,37.480346,-79.454122,11.027438478929135,61483.0,30.40566037735849,48.7,94.0,3.0,1.0,88.0,6.0,0.0,1.0,1.0,4.0,greater_roanoke_area
Bedford County,37.385906,-79.576074,16.419612314709237,52620.0,21.52377240841777,48.2,94.0,3.0,2.0,77.0,15.0,0.0,1.0,1.0,5.0,greater_roanoke_area
Bedford County,37.30708,-79.550136,18.492631578947368,47500.0,24.605303731113167,45.0,90.0,6.0,3.0,80.0,12.0,2.0,2.0,3.0,2.0,greater_roanoke_area
Bedford County,37.16155,-79.542115,24.714968738506805,35347.0,33.580485115766265,43.1,89.0,4.0,7.0,88.0,9.0,0.0,1.0,1.0,0.0,greater_roanoke_area
Bedford County,37.078076,-79.564706,17.069181179640143,62358.0,36.35935397039031,60.6,94.0,3.0,3.0,64.0,27.0,0.0,1.0,0.0,8.0,greater_roanoke_area
Bedford County,37.1685,-79.647669,22.613721841719784,50518.0,38.889418493803625,45.3,94.0,1.0,5.0,81.0,16.0,0.0,0.0,0.0,3.0,greater_roanoke_area
Bedford County,37.222331,-79.724449,19.48,6e4,35.3822249844624,42.3,94.0,4.0,2.0,78.0,14.0,0.0,0.0,2.0,6.0,greater_roanoke_area
Bedford County,37.250356,-79.807656,17.59274085935415,56205.0,27.736720554272516,47.7,93.0,4.0,3.0,85.0,11.0,0.0,0.0,2.0,2.0,greater_roanoke_area
Bedford County,37.288723,-79.785282,19.99957211013885,46741.0,32.14592274678112,42.7,88.0,2.0,9.0,83.0,15.0,0.0,0.0,1.0,1.0,greater_roanoke_area
Bedford County,37.302935,-79.714887,19.320004695019367,51118.0,34.48196469685342,42.8,85.0,2.0,12.0,91.0,8.0,0.0,0.0,0.0,0.0,greater_roanoke_area
